material,stock,stock_length_mm,cuts,pieces,piece_lengths_mm,kerf_mm,used_mm,waste_mm
beam_45x45,1,4200.0,3,door_brace + left_brace + right_brace,1288.9 + 1224.4 + 1224.4,5.6,3743.3,456.7
beam_45x45,2,4200.0,3,front_post_left + back_post_left + front_post_right,1150.0 + 1150.0 + 1150.0,5.6,3455.6,744.4
beam_45x45,3,4200.0,4,back_post_right + floor_diagonal + door_left + front_bottom,1150.0 + 1065.1 + 1050.0 + 860.0,8.4,4133.5,66.5
beam_45x45,4,4200.0,4,door_right + roof_front + roof_back + door_bottom,1050.0 + 950.0 + 950.0 + 950.0,8.4,3908.4,291.6
beam_45x45,5,4200.0,4,door_top + back_bottom + back_top + roof_middle,950.0 + 860.0 + 860.0 + 860.0,8.4,3538.4,661.6
beam_45x45,6,4200.0,5,roof_left + roof_right + floor_back_support + seat_rail_1 + seat_rail_2,842.3 + 842.3 + 814.0 + 814.0 + 814.0,11.2,4137.8,62.2
beam_45x45,7,4200.0,5,seat_lower_rail + left_bottom + left_top + right_bottom + right_top,814.0 + 760.0 + 760.0 + 760.0 + 760.0,11.2,3865.2,334.8
cladding_120x23,1,4200.0,4,door_1 + door_2 + door_3 + seat_top_1,1175.0 + 1175.0 + 1175.0 + 500.0,8.4,4033.4,166.6
cladding_120x23,2,4200.0,4,door_4 + door_5 + door_6 + seat_top_2,1175.0 + 1175.0 + 1175.0 + 500.0,8.4,4033.4,166.6
cladding_120x23,3,4200.0,4,door_7 + door_8 + left_wall_1 + seat_top_3,1175.0 + 1175.0 + 1175.0 + 500.0,8.4,4033.4,166.6
cladding_120x23,4,4200.0,4,right_wall_1 + left_wall_2 + right_wall_2 + seat_top_4,1175.0 + 1156.4 + 1156.4 + 500.0,8.4,3996.2,203.8
cladding_120x23,5,4200.0,4,left_wall_3 + right_wall_3 + left_wall_4 + floor_1,1137.7 + 1137.7 + 1119.1 + 782.0,8.4,4184.9,15.1
cladding_120x23,6,4200.0,4,right_wall_4 + left_wall_5 + right_wall_5 + floor_2,1119.1 + 1100.5 + 1100.5 + 782.0,8.4,4110.5,89.5
cladding_120x23,7,4200.0,4,left_wall_6 + right_wall_6 + left_wall_7 + floor_3,1081.8 + 1081.8 + 1063.2 + 782.0,8.4,4017.2,182.8
cladding_120x23,8,4200.0,4,right_wall_7 + back_wall_1 + back_wall_2 + floor_4,1063.2 + 1050.0 + 1050.0 + 782.0,8.4,3953.6,246.4
cladding_120x23,9,4200.0,4,back_wall_3 + back_wall_4 + back_wall_5 + floor_5,1050.0 + 1050.0 + 1050.0 + 782.0,8.4,3940.4,259.6
cladding_120x23,10,4200.0,4,back_wall_6 + back_wall_7 + back_wall_8 + floor_6,1050.0 + 1050.0 + 1050.0 + 782.0,8.4,3940.4,259.6
cladding_120x23,11,4200.0,8,floor_7 + seat_top_5 + seat_top_6 + seat_top_7 + seat_front_1 + seat_front_2 + seat_front_3 + seat_front_4,782.0 + 500.0 + 500.0 + 500.0 + 397.0 + 397.0 + 397.0 + 397.0,19.6,3889.6,310.4
cladding_120x23,12,4200.0,3,seat_front_5 + seat_front_6 + seat_front_7,397.0 + 397.0 + 397.0,5.6,1196.6,3003.4
